,t_Mean_MAE,t_Mean_MSE,t_Mean_R2,t_Std_MAE,t_Std_MSE,t_Std_R2,v_Mean_MAE,v_Mean_MSE,v_Mean_R2,v_Std_MAE,v_Std_MSE,v_Std_R2
81,0.2522139711131488,0.1911543370374898,0.9301052273876035,0.1922284595802426,0.26566350024116303,0.09432586710643921,0.6935110698224427,0.8776625172615837,0.6874741593278669,0.055749295077365965,0.15804580010474853,0.046389948213919896
243,0.2457399355385948,0.12928737766615828,0.9524092672245675,0.0664249299825308,0.06727244451428473,0.028100680270949654,0.5655524454176846,0.6365565693320139,0.78826173475523,0.0404406377703192,0.11440635360876915,0.034192940510597916
729,0.2701054438327183,0.1776413913489801,0.9393803965005514,0.07106145689325905,0.09504981201652367,0.03014165230493849,0.45674693034861996,0.4735411071451791,0.8469170669488421,0.0235573558559881,0.06556630570114778,0.020795504388942194
2187,0.249438420094304,0.1632394325692598,0.9419912360920459,0.043121936155236504,0.07585092559825533,0.029609926016921823,0.3651810660640389,0.31726682166348563,0.8910231026029674,0.014387377041358939,0.03179013208737755,0.008653764067957122
6561,0.21885741409328538,0.11080502105100465,0.9606448663094799,0.0530029332583308,0.06757494723326771,0.023269234100763078,0.2777826505366024,0.2033489379696874,0.9294687556785398,0.03196023808349447,0.09678105797539768,0.027702962656633103
19046,0.22384473625740986,0.18373061424849796,0.9389859873961554,0.039335931442199046,0.058936978138247255,0.014893018734985611,0.23505754044530955,0.14748695701070205,0.9503427903935409,0.03252057791617894,0.0345722712582915,0.012543088391051685
