,t_Mean_MAE,t_Mean_MSE,t_Mean_R2,t_Std_MAE,t_Std_MSE,t_Std_R2,v_Mean_MAE,v_Mean_MSE,v_Mean_R2,v_Std_MAE,v_Std_MSE,v_Std_R2
81,0.20788911585545983,0.0706339212995283,-0.39269826945025565,0.09154167588403522,0.049698590415634514,0.9949800608700625,0.27005975517839226,0.1272090725553921,-1.45801493725531,0.011393750735095014,0.017805812343861204,0.35371601482482934
243,0.03720902212192091,0.0048473500139118875,0.9111007871777141,0.04168716949796181,0.008385458502858205,0.15274754277249347,0.14420148518381387,0.03757693519830634,0.2895754291982606,0.012871509905673165,0.00592928970301596,0.11216958850044963
729,0.04128260156762272,0.00308335114717133,0.9431430770422317,0.009120365317437163,0.0016298938343695247,0.030194585545083186,0.09007487443513715,0.015143147753822644,0.7159452680509533,0.008462730939449816,0.002925126625214781,0.0560216470547697
2187,0.047050474154516166,0.004051770311108278,0.9255057834106847,0.013758748236447856,0.002251831099931401,0.03902437265111155,0.06911342250791774,0.009749307103638907,0.7998062257469548,0.009644520852377613,0.0021330019707012397,0.05728098183694564
3355,0.04613565804297472,0.004109936532532731,0.9217674186972304,0.01349633042452343,0.0028091253388997693,0.047801936808443884,0.06056076294191868,0.007608330238639283,0.8544740308648635,0.008737713114095704,0.0018070492003676166,0.0369233717357887
