,t_Mean_MAE,t_Mean_MSE,t_Mean_R2,t_Std_MAE,t_Std_MSE,t_Std_R2,v_Mean_MAE,v_Mean_MSE,v_Mean_R2,v_Std_MAE,v_Std_MSE,v_Std_R2
81,0.4582664632925869,0.42401729892688095,0.8194149582142229,0.09877066277735719,0.11952695597093728,0.0610025576365291,1.0172882044490446,1.9855337270488929,0.3062948387179404,0.06914965970961545,0.1695872321679075,0.04780405940992801
243,0.17665710736027251,0.06881165420165497,0.972449782049187,0.05459109414506587,0.04114910147450807,0.01785563712199035,0.889361968461477,1.740188504316476,0.41881225524919935,0.02891212000510068,0.09455753938706077,0.019324086133073216
729,0.2920517342904535,0.2209761787949383,0.9211009894870881,0.06802108873108978,0.10878828409335012,0.03850481925008576,0.7169030291608731,1.237271285141076,0.5655267616070516,0.05158238279216419,0.13283741858706988,0.024257652952532596
2187,0.4259390807767396,0.43695431021780295,0.8490672181375085,0.0717068008475553,0.1536530717262587,0.04975034882727074,0.6503368183367542,1.0715995138631231,0.6306214040799617,0.03331793349793134,0.13099881432834345,0.06053206018890128
6561,0.47772653459694947,0.594716084648602,0.7939147531860431,0.046188369741298876,0.17840795962842185,0.05543384387670642,0.5730050966562873,0.8097159717447715,0.714185339375524,0.027872884553918148,0.06667745016554268,0.026044201791408324
19039,0.4033748230782381,0.4121923000747115,0.8621182683679635,0.025156198748662578,0.07890261445462775,0.024905302323783865,0.49495161688787387,0.6512731170122732,0.7673498261853705,0.024024667625829468,0.1357021745253123,0.03164178643666114
