,t_Mean_MAE,t_Mean_MSE,t_Mean_R2,t_Std_MAE,t_Std_MSE,t_Std_R2,v_Mean_MAE,v_Mean_MSE,v_Mean_R2,v_Std_MAE,v_Std_MSE,v_Std_R2
81,0.564551209669073,0.7963476263459661,0.6664292454759049,0.1204387838065401,0.3058218561293206,0.1272327162981547,0.7107284180819929,1.1944907400973688,0.5781094693092732,0.030433044112715885,0.14503941604393983,0.034332109507315585
243,0.5107960065602375,0.6389661514947,0.7439367910095782,0.0921131852401871,0.22502114449488814,0.07885060247401598,0.6790722467292524,1.044084636473208,0.6485898806933502,0.02923934322329038,0.07376924919240603,0.031094409144407857
729,0.4841577675204915,0.6025507272412998,0.7828028430968683,0.021231609815289435,0.04969251903578749,0.018648963735662428,0.5750911138785778,0.8203475547661911,0.7071343992921554,0.037640549945659255,0.11250960575803856,0.0305974909493832
2187,0.48286230954248605,0.5862763959028113,0.7902884320990458,0.03781218479428856,0.08089985579139693,0.024560902888927826,0.5612255496796161,0.7946747471855723,0.7264887955958002,0.022607324121325593,0.04965455811741919,0.025292680636368223
6561,0.4287201878874285,0.4646439590294647,0.8336715253488762,0.028793553129670142,0.07040977372943048,0.03033276608588812,0.4945205341666464,0.6491389178343978,0.77094427050401,0.014776357155792076,0.060636750585558244,0.01827188692836082
19039,0.4288796041649358,0.4827492006934067,0.8390123778077869,0.005970865487894063,0.023007415604135092,0.010726366132261626,0.4383132078628715,0.5109139033864679,0.8112882101941221,0.02110795779425299,0.0686562649130919,0.03737950078974202
