,t_Mean_MAE,t_Mean_MSE,t_Mean_R2,t_Std_MAE,t_Std_MSE,t_Std_R2,v_Mean_MAE,v_Mean_MSE,v_Mean_R2,v_Std_MAE,v_Std_MSE,v_Std_R2
81,67.69766417353736,12582.942424950234,0.6421609233576516,10.109110660505973,7519.54991884306,0.08267384360446228,107.97834273827104,25489.07104235812,0.2571793903381177,7.467095077840052,4412.089171029765,0.09671179551219493
243,83.96978871474337,17576.265647965523,0.537060419184733,6.017527333407703,1226.0644892562013,0.03431297777738618,100.03771845012542,23499.545242086788,0.3795731287930465,4.000152058221599,3157.4669401841284,0.03785631752552645
729,84.06069075001615,17441.424985554797,0.5264663761035324,7.251239569411592,3716.144476390494,0.06127218679816091,89.99368696297205,22198.063602771865,0.457144385588903,5.5427189589927375,7734.067468309582,0.06661217363699737
2187,61.34108943681825,9169.189334715982,0.7392226696061742,3.0857842787655687,477.4952916725773,0.052522173243390015,68.9227750853334,12057.461903186571,0.6712321923073759,3.242819432568892,2653.413797117533,0.03590529132249054
3363,54.33124101405356,7681.353047007942,0.7719835864001074,5.352069938971875,2339.042795384066,0.06753084021055872,64.28049541097673,11382.111374727505,0.6949170925385766,4.310413130178071,1848.7153097462156,0.03851459807824583
