,t_Mean_MAE,t_Mean_MSE,t_Mean_R2,t_Std_MAE,t_Std_MSE,t_Std_R2,v_Mean_MAE,v_Mean_MSE,v_Mean_R2,v_Std_MAE,v_Std_MSE,v_Std_R2
81,39.69888730690061,5200.257061153786,0.8763914293688639,16.602526964346232,5638.387289357539,0.08673886451760124,85.64796334112455,17544.059438632143,0.4819762909941823,10.84223194183908,5000.4722549251155,0.15352558246095147
243,48.76823931302481,7023.317718232048,0.81414380241928,4.9002285219935455,1252.7585956921703,0.032434627829175146,73.7001353076707,14697.59386178418,0.6152410982671987,4.728467260134048,3228.936579033131,0.04620322572879738
729,50.03753608168032,6889.535897502244,0.803181822878388,2.804651627669303,1017.7064139526005,0.033630396428492554,61.940864681462074,13206.89325616907,0.6804748706495886,3.093118965496184,4914.145916192121,0.06177953670655479
2187,44.67032225584039,5498.4114609177905,0.8372217171137551,2.477080474610575,695.2426164747454,0.02197421482769097,52.93640571700926,8340.652405971277,0.7746294762911873,2.176822150410869,2647.0062625066303,0.04600287693779713
3363,45.35532879866388,5464.890566110653,0.8445272828156339,3.436032303542478,888.2229857711926,0.011685562539232612,51.21528146461638,8424.102438642913,0.7805574359438777,2.2292182828750153,2852.683156281325,0.045446196291386035
