,t_Mean_MAE,t_Mean_MSE,t_Mean_R2,t_Std_MAE,t_Std_MSE,t_Std_R2,v_Mean_MAE,v_Mean_MSE,v_Mean_R2,v_Std_MAE,v_Std_MSE,v_Std_R2
81,0.15192105863936153,0.046237864351007824,0.9825470628489897,0.06313432315961359,0.032312929226053666,0.0113433163583546,1.0655113483733396,1.9911106708514086,0.2804740206668185,0.0369323411188407,0.0743520465334013,0.04022348888246055
243,0.11073247642019654,0.026820207977758914,0.9906853945911209,0.05365956050727697,0.020095114852206095,0.006728917392110523,0.7136220943088931,1.0379656160834299,0.6521042841835094,0.03163861297682557,0.17441417513853716,0.05331289044326731
729,0.10705368469882855,0.025122974187152463,0.9907319073476815,0.04683795839808362,0.01658998101349971,0.007171464880259172,0.47224166065850604,0.41912639280148,0.86320217299309,0.017839121228032464,0.035014417927903295,0.014085684550347215
2187,0.1509380516826205,0.03984499663002454,0.9852311488505592,0.0175116620164011,0.008150497037639537,0.003470186671138645,0.3141131919152834,0.2025366201245717,0.9295280981459006,0.015545484458162527,0.019940907546605872,0.0039006450769474366
6561,0.16881151858936702,0.05906252431980639,0.9789928941088473,0.019493593180355064,0.017808338238166497,0.006116531756263157,0.23293687227972998,0.1462901993438819,0.9484024151574035,0.01654246455195108,0.07812756570579069,0.02343232124025358
19046,0.13792249711232332,0.037044239409213406,0.9869489123644639,0.008483895957753975,0.004617530766626455,0.002556525027213952,0.178277702106194,0.10140789314609126,0.9652075817625778,0.009372333764483654,0.04093966102826692,0.013674928034388379
