,t_Mean_MAE,t_Mean_MSE,t_Mean_R2,t_Std_MAE,t_Std_MSE,t_Std_R2,v_Mean_MAE,v_Mean_MSE,v_Mean_R2,v_Std_MAE,v_Std_MSE,v_Std_R2
81,0.20077190304794987,0.14972768419060123,0.938318927284296,0.1510564103229118,0.1401457215853954,0.05591328106585279,0.86692240398856,1.6044373252470052,0.4401787224791282,0.01146668682122818,0.09696317469905479,0.03964838736551883
243,0.2629207385697559,0.19937924829975567,0.9229869446312258,0.12724084399685348,0.13891030235506333,0.050591705131725326,0.784671252664218,1.354905821882401,0.5458919771548099,0.019507654918443383,0.07641847817283928,0.010994440846125445
729,0.17227738097026293,0.07767252721946939,0.9716711542434677,0.035128873075443795,0.03304083392860121,0.013385419081736882,0.6261684915478967,0.9873700309783515,0.6498093785565974,0.029292455877376018,0.08149932863276071,0.027029513799467914
2187,0.26595461593228426,0.20630982290275232,0.9244320058849496,0.07263136166086602,0.10305131822719885,0.037759175909201276,0.5579902218962676,0.8607319540614409,0.7044017276255714,0.018947793193297664,0.05881066264019395,0.029432515458013404
6561,0.3063797254046839,0.24943561024538483,0.9124631031549464,0.06520102964118402,0.10485611122470395,0.03920816290015092,0.5051137195829657,0.6931402758472069,0.7561174395649995,0.03152401602650819,0.08573939509106973,0.03399838894186762
19039,0.30686189798194136,0.2406016216416699,0.9160367082668541,0.034261177046875785,0.05167398028724289,0.01784349279026819,0.4319662485083902,0.5600383015484607,0.798286080057141,0.015817080143689877,0.0877005761149932,0.01575026858468126
