,t_Mean_MAE,t_Mean_MSE,t_Mean_R2,t_Std_MAE,t_Std_MSE,t_Std_R2,v_Mean_MAE,v_Mean_MSE,v_Mean_R2,v_Std_MAE,v_Std_MSE,v_Std_R2
81,0.1791821410139046,0.0668200803272873,-0.25230563723478083,0.08801071156671421,0.03520310596545786,0.6252531833678797,0.439244317286709,0.2996541814921561,-4.781285205336765,0.044910632104008245,0.05374508801383707,0.9930296524362212
243,0.008842063148572932,0.0001912069594091102,0.9962898809017929,0.004198049534977928,0.0001441654696792264,0.002807831989178291,0.19144568968106604,0.060552692127624555,-0.14497627654316556,0.008172923207772891,0.006161754661491349,0.11333436149251178
729,0.022969856054198774,0.0010226772043842318,0.9821968638628634,0.008025493455443204,0.0007606073580253545,0.01206854216520602,0.10368697123651457,0.019705458679755226,0.6321172386863761,0.0050385969366461905,0.0021037260891599747,0.029417013197536254
2187,0.049223052789936564,0.004111844610104109,0.9205705741539882,0.005556749044831156,0.001071027507563176,0.021303306841731536,0.07173549906642222,0.009738429474783487,0.8030260486849427,0.002896240315056242,0.0009748265404652109,0.025622860354614814
3355,0.048473715829491205,0.004195210377255579,0.9207189501380878,0.011760127837390765,0.0018532529501782528,0.034594269425789394,0.06521144293814093,0.008657887037737663,0.8388614756551028,0.007072716351190854,0.002043783865140448,0.02909294736395979
