,t_Mean_MAE,t_Mean_MSE,t_Mean_R2,t_Std_MAE,t_Std_MSE,t_Std_R2,v_Mean_MAE,v_Mean_MSE,v_Mean_R2,v_Std_MAE,v_Std_MSE,v_Std_R2
81,0.13650282577504652,0.05455383571663952,0.9736778823782647,0.13012634607041035,0.08653600786919353,0.04387261962535991,1.066927574384124,1.9112013646648993,0.3408811966369047,0.024396175225153773,0.09487206987530385,0.029026311962209297
243,0.0573105335164316,0.007620782588467681,0.9974337295883761,0.019975247650880282,0.004560621065055931,0.001457438177963043,0.6565199637198802,0.8370308215971647,0.7233988719729332,0.015003715583838877,0.09214909066117634,0.02484343993972293
729,0.13653087051492677,0.03511459381710388,0.9879528145082362,0.020182574054895187,0.011030446633725776,0.0032853520094302986,0.44523101327793774,0.4005086499584105,0.8731356699802759,0.01948744694435319,0.059741189882903355,0.014880159039309181
2187,0.1518138432218281,0.03989578704992237,0.9863408490469118,0.026791919411079546,0.013156081647658458,0.004561820118398307,0.3430425265303505,0.2538541871925531,0.9132462505318746,0.020211599691639912,0.046815924527082935,0.015550496271922985
6561,0.17042978170649456,0.054358210823224326,0.9817940688259368,0.03272378642704181,0.019784884397916213,0.0058076302334922085,0.268154781084789,0.18384854648353827,0.9366012478546638,0.02756556267338753,0.09219440078373406,0.02683140254615028
19046,0.11672165334354594,0.037444160553405235,0.9872129466265775,0.02109367732230994,0.013715262401738731,0.00424702526611065,0.16546544682666328,0.09869214637084944,0.9672865812276731,0.01583038204257513,0.030908696623696757,0.010551894516742448
