,t_Mean_MAE,t_Mean_MSE,t_Mean_R2,t_Std_MAE,t_Std_MSE,t_Std_R2,v_Mean_MAE,v_Mean_MSE,v_Mean_R2,v_Std_MAE,v_Std_MSE,v_Std_R2
81,0.4729510676622567,0.3856454915437559,0.8481561854322155,0.08943086567622567,0.14180188635848412,0.051724868956095967,1.0720603772280355,2.0266405016438798,0.3032106442873987,0.05055163981029798,0.235791283793724,0.05968290667789386
243,0.4738375467589046,0.41201616235743366,0.8611878263699125,0.1427555492397092,0.24124164586998634,0.07878329071581057,0.8705442469892908,1.432453795951173,0.5268681033057394,0.04599181160113395,0.18762582899622254,0.05087818885537851
729,0.4531941735606784,0.37947732399571443,0.8705889934342006,0.048252085741610135,0.0779177099157867,0.02621504669613079,0.7351520550989067,1.060986155169454,0.6637382649278101,0.06464352630764898,0.18844170010276842,0.04984207719716752
2187,0.44308919453879686,0.3520858454852211,0.8820867806940201,0.021026226099358454,0.03824772391342817,0.012799834670569476,0.5880252433809309,0.688000085171612,0.7645551744848229,0.03628542034277915,0.06499026768248004,0.022959304015635222
6561,0.3858274276849335,0.2796072549486651,0.8985549175563936,0.06105431060184337,0.08914290070770331,0.030946930057754,0.4880227816133081,0.47586796960276095,0.8329281386793284,0.02167831099015353,0.06054662965080891,0.018248359030409035
19046,0.3821683134082279,0.29823858889405247,0.899797437545384,0.02438241354904965,0.0635511428675552,0.01993524885172593,0.4239961322938788,0.36404351765400417,0.8798512412026847,0.010583408761336401,0.016790258480071388,0.00959723598316279
