,t_Mean_MAE,t_Mean_MSE,t_Mean_R2,t_Std_MAE,t_Std_MSE,t_Std_R2,v_Mean_MAE,v_Mean_MSE,v_Mean_R2,v_Std_MAE,v_Std_MSE,v_Std_R2
81,0.2404998258940413,0.15932718846755542,0.9345580240667608,0.1283147645052397,0.11211403988973924,0.0428290115714567,0.7450339674673634,1.2717259886637104,0.5512510836686261,0.027696376196975882,0.16868349015949416,0.03356316280440417
243,0.28660910773216,0.24031450997030362,0.9098976740418511,0.1432104810958907,0.2055606930487486,0.07038019298705243,0.697296423081813,1.120526571452054,0.6227329530631323,0.020130717076188465,0.021758087969420387,0.01713604004913042
729,0.1321918787747948,0.05491279296512188,0.9802787014526231,0.0752461839447403,0.059670989650542766,0.020603174358316215,0.5804446753797474,0.8817990385408263,0.6848657197039039,0.030306464729271183,0.08732490678364015,0.025900995454894483
2187,0.2837368943523574,0.21082647684315153,0.9216069842505054,0.06828233896920474,0.11761610269234891,0.04159694715407661,0.5163063113865569,0.746713122108748,0.7431573063349461,0.01745879785104403,0.06751069243541918,0.028625869333117324
6561,0.24135644192254163,0.1635010807770491,0.9449023563595178,0.07107084586066707,0.0876418499634531,0.030201180653557206,0.4654281825186229,0.6291214463548045,0.7785543146389754,0.017231689934599004,0.06591308858789949,0.021740440625095156
19039,0.26522233138684387,0.200745470044573,0.9264435276655091,0.01654463738656248,0.022890629706542754,0.009272620570026566,0.40189444800977014,0.45836074754698075,0.8316942733627449,0.018301313190239987,0.036061836366075725,0.01942912369622259
