,t_Mean_MAE,t_Mean_MSE,t_Mean_R2,t_Std_MAE,t_Std_MSE,t_Std_R2,v_Mean_MAE,v_Mean_MSE,v_Mean_R2,v_Std_MAE,v_Std_MSE,v_Std_R2
81,0.0974804402859972,0.03727458948985031,0.9852349353803515,0.08824958112292808,0.046394133866276825,0.017317287786501632,1.1141554712786388,2.117546044634326,0.2713013855489617,0.03826610161165149,0.19082077701511507,0.04271965422186052
243,0.11730179384344566,0.034235830688867576,0.9879278036983921,0.05320270942222031,0.02655801994706915,0.008926174778692697,0.6448372468790681,0.8438654638415051,0.7217364661887687,0.018834285583302465,0.12651455712200266,0.03303190435014293
729,0.15446807026880677,0.05569409346962721,0.9811486139237493,0.016344266870951262,0.013467456230876229,0.003641079921144913,0.4167902736792831,0.36785479171283514,0.8833425341352406,0.013765241755808143,0.057362721414343586,0.015328251450213376
2187,0.17390501173421724,0.061980387427364156,0.9781611719487915,0.02154450933144858,0.01695376628740937,0.007371911871277736,0.3013317859481125,0.20898790272592946,0.9285723754667469,0.01586359682981944,0.03734836473167255,0.012257832982210806
6561,0.1727100622691508,0.06475633963243106,0.978672636852003,0.023852625072136285,0.01950977524488342,0.006383901791793038,0.2274371822200179,0.14362414260178286,0.9506698792763881,0.01572425722192552,0.0646460588354506,0.018140530089586576
19046,0.16158634550806528,0.08503473200421773,0.9723147670798165,0.023258817065823015,0.035567488857141887,0.010510984264884275,0.17775631708677747,0.10236205451050277,0.9661073670358334,0.012720541271004552,0.04488656944209897,0.014702338565272628
