,t_Mean_MAE,t_Mean_MSE,t_Mean_R2,t_Std_MAE,t_Std_MSE,t_Std_R2,v_Mean_MAE,v_Mean_MSE,v_Mean_R2,v_Std_MAE,v_Std_MSE,v_Std_R2
81,3.7490978884166095,85.22169207548643,0.3947488352325409,1.2623878715543826,58.061135265241724,0.15250306535791197,4.404562505350837,106.21945354678417,0.07770540910217497,0.7312637611472436,62.11187257532569,0.038258889172042454
243,3.162432245227559,51.023502023638166,0.4167273027918122,0.5162712796840672,26.683347649120453,0.12842091032056752,3.8231143128646083,87.8904072327413,0.2300416520042325,0.27793496644191973,32.99812783827596,0.07294744975050874
729,3.216979456481443,50.71954355579678,0.45496605555041353,0.21892700346647592,18.532154987065038,0.1143988297758815,3.6826219177671424,63.10133911780254,0.36111464726461795,0.14815934910057676,10.146839085319897,0.10507462088057687
2187,2.7435694782616906,48.65952857573741,0.5838455471537511,0.3734125970824731,29.08987244298993,0.1407924298937217,3.5459432045469286,84.1399983197343,0.41348109386783555,0.32809883488652103,40.54535406120824,0.10033202143607589
3356,2.697398462987146,30.165178022880845,0.6451002837370051,0.21257980703025756,10.164572847930163,0.054972455773408445,3.5145412295596627,83.37810652271638,0.471058721700909,0.2774372670642462,34.34953012436337,0.11277543759791653
