,t_Mean_MAE,t_Mean_MSE,t_Mean_R2,t_Std_MAE,t_Std_MSE,t_Std_R2,v_Mean_MAE,v_Mean_MSE,v_Mean_R2,v_Std_MAE,v_Std_MSE,v_Std_R2
81,0.198792481818221,0.09260924848669574,0.962825252761849,0.1400819455843964,0.08116582954428517,0.03127542191481817,0.8728495897560435,1.369286145788272,0.5296710078945639,0.07455978372938085,0.2338056840138453,0.06835471644443648
243,0.09505790631523847,0.025777166696469584,0.9908232689752744,0.07743817919384649,0.03598141908039529,0.012517161289627597,0.5578872503966373,0.6539301056304925,0.7849175979269343,0.03810287643028488,0.15854094366656452,0.04527200817389772
729,0.12834914315936458,0.028033333432026474,0.9906568797775084,0.016375838527936205,0.007850189283424616,0.002471885737124762,0.37913140967071435,0.30464540903665016,0.9035032389111812,0.031621578190464364,0.053956110172341046,0.01480288290137871
2187,0.16892021169000138,0.05062590859082515,0.9821501197314382,0.014253536684068261,0.008559101923131321,0.0029295355445521105,0.2959120127351607,0.1886013182096798,0.9355163806498403,0.01973652040646847,0.03220892204409038,0.01066636607457833
6561,0.11930433472879005,0.02508922310846049,0.9911306278731711,0.01654464445990602,0.007361604407564166,0.0024840603217292615,0.2206575700394005,0.14067862170141437,0.9515204422870494,0.012619357792172622,0.06399605275651586,0.01817991577875349
19046,0.1384804923084326,0.04657854216091987,0.9842492867824466,0.009678710683976658,0.010075712897073187,0.0038555436068662312,0.17606545556438166,0.10264883190293081,0.9659465038652073,0.009682882258945796,0.040655054819379435,0.013595540366153517
