,t_Mean_MAE,t_Mean_MSE,t_Mean_R2,t_Std_MAE,t_Std_MSE,t_Std_R2,v_Mean_MAE,v_Mean_MSE,v_Mean_R2,v_Std_MAE,v_Std_MSE,v_Std_R2
81,0.3544463846141651,0.3464407552087419,0.8501968394082636,0.1889496645553392,0.29722914544208945,0.13854449246111789,0.9044896057467364,1.6480221960980181,0.41629081352634156,0.049417511794825425,0.17404245424614315,0.05106243301186984
243,0.40027945912887086,0.37317476391406695,0.8472535512530271,0.15071614885263465,0.20439361816107773,0.08683472461605786,0.8264750666128255,1.4122510097099255,0.524594693072463,0.027015834690427083,0.05026213769971333,0.02363756089464997
729,0.34314759865299677,0.3277713577205031,0.8788195269309773,0.1575104004170814,0.23974883632103317,0.09074413963857601,0.7042209651196808,1.2067470673387373,0.56936249967913,0.04121198529619252,0.13646189676596268,0.03435064159430538
2187,0.3778241245603936,0.39535516362347306,0.853153589309505,0.09242493449317252,0.20615551291774412,0.07566054230610825,0.6341473968001138,1.0227297485433222,0.6473434478773463,0.020660071993159456,0.10958777560332496,0.050526707746738564
6561,0.42848766290495865,0.43898849742408397,0.8429628959713906,0.046188421467007544,0.1293446541885325,0.049398640585731346,0.557057905708153,0.7734234890784586,0.7273759036265011,0.018651498613648274,0.08468909229579027,0.03140610432785804
19039,0.3981176308794117,0.3875896977673313,0.8663108195708512,0.066540358711633,0.12013620096185575,0.040320848776620614,0.4991422984664732,0.6275982158365707,0.7686822033582484,0.020860592162039407,0.0385479376542032,0.03158768962213847
