,t_Mean_MAE,t_Mean_MSE,t_Mean_R2,t_Std_MAE,t_Std_MSE,t_Std_R2,v_Mean_MAE,v_Mean_MSE,v_Mean_R2,v_Std_MAE,v_Std_MSE,v_Std_R2
81,0.5033234751437525,0.6472611837103207,0.7309115792680057,0.10090124952392435,0.2565523907285501,0.11920904884361169,0.6945930648857914,1.2284446968504017,0.569482714396792,0.05919079904297601,0.19539847262362736,0.04056978359288236
243,0.4694903111946117,0.5417057685219298,0.7873303694325774,0.09188446601379474,0.21621569158296206,0.06847099674771939,0.6749563519178194,1.0669727686456068,0.6437082265472995,0.025823334622968794,0.054007592137501,0.01602990435602797
729,0.4388217735848838,0.48942217239707186,0.8115237579309135,0.05965228008877714,0.10679155702939044,0.048390269980179416,0.5649898770441286,0.7898305552733624,0.7203097269376606,0.035700958126840064,0.08624714699431635,0.030448414948318233
2187,0.43510086655298413,0.47623435907166095,0.8375137540968283,0.04287487350868139,0.09717372449306691,0.024937893402735906,0.526666903639433,0.7191823326322406,0.7527065865573168,0.018949031044530426,0.06034005190010545,0.028853449440474785
6561,0.40903279004983484,0.44241593231894816,0.8483129961987312,0.029634644304441467,0.0692806174226451,0.02673267883679097,0.46868664648231306,0.5928959839424268,0.7910071448488682,0.018086530200427175,0.060000652863379564,0.01990259915006397
19039,0.39123610697560396,0.40897491818225296,0.861861210027364,0.02530627903814331,0.05301184617372691,0.013727596391324703,0.4197933959429876,0.4762301669278468,0.8262478182141996,0.027894453135599726,0.0697581135993682,0.03831386313235003
