,t_Mean_MAE,t_Mean_MSE,t_Mean_R2,t_Std_MAE,t_Std_MSE,t_Std_R2,v_Mean_MAE,v_Mean_MSE,v_Mean_R2,v_Std_MAE,v_Std_MSE,v_Std_R2
81,0.49392653690473126,0.6072887783551355,0.7482102867612841,0.06434866435362598,0.1314007652115671,0.06476250047293915,0.709192877769262,1.254145211067868,0.556997480689714,0.0312430310157603,0.16430271919460027,0.03911561282538263
243,0.3685630223906907,0.32732009280042823,0.869826017705922,0.06879788843513958,0.11743679706073025,0.043970293418853036,0.6864979811863687,1.0879733118339292,0.6339938860522013,0.015375524041058007,0.03491443006448595,0.011857577169364026
729,0.42076271527642606,0.4601607936803479,0.830701081743363,0.040261663980459335,0.06557137620556816,0.03389804626336116,0.5837647566938353,0.8445419261421969,0.6982515287336483,0.029089266181595973,0.08153369962315854,0.022922871299597147
2187,0.3639530487779316,0.35313472018716313,0.8762684877830997,0.04068945539353627,0.08756754997121068,0.028820023504436063,0.5299036304916973,0.7475653321682034,0.7429485468681759,0.01811370762262542,0.03857877191580625,0.019477940515001207
6561,0.41641083055097505,0.42118813469110317,0.8621613169816051,0.040506568053539756,0.08852725287197351,0.027358261053890606,0.49257751174578407,0.620536213445438,0.7813711818479906,0.012678971398208195,0.05142490842411753,0.017852635042238125
19039,0.3321849538470037,0.3032317939140598,0.8940471355393967,0.02529440948743913,0.03560962177204787,0.016819090789941836,0.40792625063633425,0.45693739599643457,0.8315258629803391,0.013556825614832287,0.02481143497775785,0.023102856897079357
