,t_Mean_MAE,t_Mean_MSE,t_Mean_R2,t_Std_MAE,t_Std_MSE,t_Std_R2,v_Mean_MAE,v_Mean_MSE,v_Mean_R2,v_Std_MAE,v_Std_MSE,v_Std_R2
81,66.9509736074805,11533.6490126377,0.6788902155754913,14.379626478180384,7364.5155565521345,0.08151447764697653,106.7274832301077,25155.46009378431,0.26566602664441363,9.403495904096161,4520.62868180535,0.11370537842006524
243,72.50257077319336,13335.860997767519,0.6371548935616461,10.472219469390247,3529.838235723149,0.0882120137618399,95.03874901038662,22142.944721237007,0.4176880728831712,4.016232967677963,3787.5375677789143,0.04995534090317693
729,47.59566921217591,5923.730548108227,0.8313289551616144,3.1587503373810617,1065.0230531688558,0.033552040800347224,75.15424484977343,16406.36568344859,0.5935347268107062,3.8492530032678873,5076.241530590232,0.050555468962612024
2187,44.54161831049762,4944.061746721688,0.8690110932398241,7.545442179146056,1751.2542890318002,0.04767053595585321,61.79274407364484,9664.95308116652,0.7327757825145549,1.4118331385522347,1863.9052335148294,0.043615464822622636
3363,40.69216076065321,4018.699260881428,0.8837069819447976,6.218885853523838,1503.9506504178455,0.045425646554453525,58.71339024137634,8697.860070916864,0.7644923347399422,1.1036924624920397,818.4666767816979,0.03441064701332356
