,t_Mean_MAE,t_Mean_MSE,t_Mean_R2,t_Std_MAE,t_Std_MSE,t_Std_R2,v_Mean_MAE,v_Mean_MSE,v_Mean_R2,v_Std_MAE,v_Std_MSE,v_Std_R2
81,0.5478183660220673,0.6878700271727874,0.7103780506370476,0.07694035771357093,0.17015768426956118,0.08020593091704335,0.7639555780007466,1.2573747072155443,0.5556219982063215,0.04033796436423377,0.15168712764760228,0.034481946336225665
243,0.5244417687103928,0.6328315047211548,0.7495000662239393,0.04408704227790986,0.103558138944862,0.025541599603249046,0.708110162261004,1.1086789091268832,0.6270734038470258,0.03569883809472684,0.08868652297727539,0.029307779032796025
729,0.4786918239942418,0.5479487484891261,0.8015407611012024,0.04995258361614902,0.12224885602159635,0.04020304610184171,0.600836093335549,0.8514410097133046,0.6966619178712631,0.04877868706096613,0.12868572327089314,0.03400363496785949
2187,0.4863040527842147,0.5757478986053358,0.7941626911069483,0.03479703840928092,0.06815199562180681,0.034030681345460605,0.576106591248346,0.8593769224667206,0.7043745876095742,0.012989982941289127,0.046772225282961405,0.02458955008923238
6561,0.5046249867657939,0.6547642879001581,0.7726546882138738,0.047484441457936684,0.10033636335100118,0.03340610437102425,0.5249519523117202,0.7102971877981236,0.7501492375882416,0.02225022784614134,0.04863301361530827,0.008767350607208233
19039,0.4826467523788637,0.585464317765387,0.8054741800283655,0.0271871411715695,0.05085856434745582,0.018232039311090586,0.48401229776881866,0.5954812653392217,0.7804854927300695,0.021261940314002876,0.029697889549183183,0.029829930982138847
