,t_Mean_MAE,t_Mean_MSE,t_Mean_R2,t_Std_MAE,t_Std_MSE,t_Std_R2,v_Mean_MAE,v_Mean_MSE,v_Mean_R2,v_Std_MAE,v_Std_MSE,v_Std_R2
81,0.47083042200322167,0.5465861608074246,0.7650753965873666,0.1657953498623372,0.2940572429825149,0.13409948243536557,0.7758185092104464,1.2586212600801623,0.5560374464398032,0.039368623040998175,0.16311919126504906,0.026077235341178503
243,0.39748211641968917,0.38759467428373096,0.846047896705248,0.1075970170853827,0.196653986961431,0.07330363811604727,0.698465724992658,1.0919768766526015,0.6320772989796547,0.03889567651805508,0.08687194212494281,0.03590962645835516
729,0.38292539718619223,0.3495934049721616,0.8700428054483342,0.05468827567091407,0.10646569437996475,0.04346094780961038,0.5955747972687622,0.8607849510731824,0.6936640507137686,0.04356784805760727,0.13256392815905943,0.0333711509513215
2187,0.4885782530470582,0.5791132804809364,0.7992712623923358,0.0304923537705801,0.05337864662114303,0.019203547114305042,0.5657493604688039,0.8241052325588871,0.7169129730620323,0.021873318871099664,0.058524783495705,0.021872430605334253
6561,0.41534289927020207,0.44924098370861854,0.8447695116506224,0.02058533264908175,0.06014059225845371,0.021249643394576013,0.5000766979382097,0.6660390437749932,0.7656745759517516,0.017273480028758514,0.053165612569949644,0.013430819980604925
19039,0.4373704607228258,0.49807605190089,0.8185477708483972,0.03692149702151704,0.11240904764816366,0.04958263566515605,0.4636836614077101,0.5479107023480361,0.7981766580238118,0.02305923203297573,0.03698799302876437,0.027265398857101303
