,t_Mean_MAE,t_Mean_MSE,t_Mean_R2,t_Std_MAE,t_Std_MSE,t_Std_R2,v_Mean_MAE,v_Mean_MSE,v_Mean_R2,v_Std_MAE,v_Std_MSE,v_Std_R2
81,0.03473284819578103,0.004502782893271638,0.9983946171538889,0.03285154495425345,0.0056915099192600205,0.0019590285561859964,0.9342816405557534,1.5416864110394122,0.4693615383766964,0.051131227244113425,0.17256115469010652,0.04816673592856128
243,0.07764208887025063,0.016092754669834487,0.9944146828115518,0.042575291730570876,0.014633004758196571,0.004921612623382332,0.5973556324854374,0.698784104256543,0.7695277450616714,0.04492022785277116,0.12763955413890324,0.03630398554815355
729,0.09313529462538678,0.019457966669047876,0.9933381171772375,0.03187601142976633,0.01484077874341145,0.0051816330440840625,0.38377076650347564,0.3038558441346535,0.9036964722066999,0.03209442644935067,0.05520001125409656,0.01552884544706069
2187,0.14002488519525108,0.03928799850440552,0.9858586862151615,0.02526808648496621,0.013584178210304686,0.004738558612445212,0.2711945105328557,0.16788882397298616,0.9426705953004193,0.01429678579742996,0.03016564371705871,0.009662174475937736
6561,0.12902504521993247,0.032832512832460664,0.988854321969829,0.011134335969015205,0.00581560184478609,0.001863500467335888,0.20885812530957173,0.13211712516380233,0.9547588860676832,0.010322341844625379,0.0682866542694806,0.019430206502141775
19046,0.1494444210046467,0.06329788378547245,0.9778178987723856,0.015232024195195126,0.036576154879915064,0.012135451469046557,0.17586874637662187,0.09921797318575856,0.9670616789030821,0.014593405440137165,0.03614096792266299,0.012174317619459994
