,t_Mean_MAE,t_Mean_MSE,t_Mean_R2,t_Std_MAE,t_Std_MSE,t_Std_R2,v_Mean_MAE,v_Mean_MSE,v_Mean_R2,v_Std_MAE,v_Std_MSE,v_Std_R2
81,0.014659152150460075,0.0008638560703359951,0.9852300973758501,0.01367298983022211,0.0014170737851432482,0.02239429170721536,0.16588565884890172,0.0503400078539456,0.02855367101206845,0.011533581969193343,0.007725524333487389,0.1521531522797257
243,0.019009363883805717,0.0015559852150425738,0.9701207468213491,0.005999723289038603,0.0018363476648454017,0.03487799717477353,0.09289298324866815,0.01741573128868928,0.6725801292790743,0.004702245695580636,0.0026047619123049054,0.03568177463024345
729,0.03850188423151875,0.0031086099647175424,0.9420782131140701,0.003909299367425782,0.0008665027699183656,0.017466267696023573,0.07063282879931496,0.009854597215134996,0.8152296551366712,0.0025600065971984054,0.00024025722206157563,0.007202938157555241
2187,0.050245070179731566,0.004489787061409088,0.9124015438919798,0.006826697709460864,0.0012089230526916806,0.0233385093482007,0.05964578688536568,0.0071053778048741165,0.8559990461162699,0.004000837518789646,0.0005986500456083837,0.017047271555857224
3355,0.0479669389457502,0.0043938980825143775,0.913210985805109,0.00602032113616344,0.0009435558890320238,0.018285967507806693,0.05552131021716229,0.006498178893293516,0.8789758255881605,0.00835841596959904,0.0020229439771421408,0.029190069750883875
