,t_Mean_MAE,t_Mean_MSE,t_Mean_R2,t_Std_MAE,t_Std_MSE,t_Std_R2,v_Mean_MAE,v_Mean_MSE,v_Mean_R2,v_Std_MAE,v_Std_MSE,v_Std_R2
81,0.0692155488248708,0.011137986773884365,0.7576413683071006,0.046352804071776325,0.013261913966829872,0.32475489768780763,0.17727253368948698,0.05201140601133462,-0.0065885186717338,0.010994746904619684,0.0050296152653468785,0.11822324626609441
243,0.014923720881103797,0.0004787599489561552,0.9909027837656079,0.0034878277743047655,0.00019862347765719083,0.0037213043424187387,0.12799486594020462,0.02926043244115976,0.4466423799651257,0.004333848247492644,0.002664210431228026,0.053043497784712575
729,0.03466256863985004,0.0022380049571994005,0.9585580091903285,0.004749630351902418,0.000742018434160943,0.01190327142241821,0.09777053946976252,0.018283931704239996,0.6565201630495453,0.0006003211683980842,0.0011215660720659852,0.027615461232226305
2187,0.0615164447966712,0.006666776041639083,0.87242759592989,0.012947392985294173,0.0024411201937230838,0.04994360706468568,0.08615250472045285,0.013493450779410554,0.7258630501946931,0.00489281200436218,0.00152829605181739,0.04295715976632395
3355,0.05828429870764455,0.005960695733699305,0.8868490203269109,0.009165237509711294,0.001591045489446156,0.02832547419761275,0.07837207772708911,0.011633236387530265,0.7796984781185491,0.006256672927934271,0.0021690563442202594,0.03174312538756504
