,t_Mean_MAE,t_Mean_MSE,t_Mean_R2,t_Std_MAE,t_Std_MSE,t_Std_R2,v_Mean_MAE,v_Mean_MSE,v_Mean_R2,v_Std_MAE,v_Std_MSE,v_Std_R2
81,0.024123810318510998,0.0013594618633141356,0.9735494875264404,0.014684917225885987,0.0011838194951085028,0.02101781698418484,0.4015654061855202,0.28437986388784103,-4.516552212924995,0.05240056545962588,0.08052422270462667,1.6999974858157103
243,0.04474158084810492,0.004051312755399867,0.9233984805349695,0.018964714853764605,0.003406072333876156,0.06528888261641767,0.21041433820329286,0.07788791562478559,-0.47452877073338123,0.013039669391397102,0.01050921743240962,0.20629770116896962
729,0.07638099815000399,0.010947450232457542,0.7941940504420648,0.012056692806308588,0.0034608440549781664,0.06521296129046031,0.14182619010146963,0.03745189916074289,0.30058971523730194,0.006641619630176511,0.004201850345349365,0.08794936849511083
2187,0.07291563993903419,0.01033562587973948,0.808805226051821,0.016641447480010584,0.003704195793253601,0.06914419074576525,0.0974017140966182,0.017245488274386295,0.6538065192053055,0.010907759777566039,0.0032434275567862253,0.06125666388481249
3355,0.06734728665221862,0.009404344385423122,0.8235066036771123,0.011161073760209448,0.002037973062342523,0.038169062937008426,0.08580539631524033,0.015156301493785482,0.7127193566707418,0.007526231923007848,0.0022511675306088057,0.04114195457263624
