,t_Mean_MAE,t_Mean_MSE,t_Mean_R2,t_Std_MAE,t_Std_MSE,t_Std_R2,v_Mean_MAE,v_Mean_MSE,v_Mean_R2,v_Std_MAE,v_Std_MSE,v_Std_R2
81,14.564287428107747,521.3282465464653,0.9828487672708885,6.587590571773414,330.9377598421637,0.01347653902912419,90.55962648845191,19389.48810733126,0.4293801527620159,4.666170450445491,3208.2449571273237,0.1000509600234843
243,38.148530084908366,3604.159639164377,0.9008627306234519,5.976973122217895,1321.2150473114552,0.03522297715930538,71.16587097965419,13349.974305857264,0.6482511724533041,2.9451329384659144,2021.1880859298676,0.025458392347497992
729,40.71139616871106,4608.936421942143,0.8663076598124126,3.1761759952490918,676.4273059280993,0.022093390180814625,62.56652584077129,12641.566643805832,0.6946484482996137,4.782407113864656,5028.7316503513985,0.05653077807423417
2187,42.91128788091801,6305.501170395727,0.8281476952287484,7.996325605831956,3974.0765005532053,0.0905628734339306,53.50191084667692,7691.801917082429,0.7882117557035977,1.8494653212488312,1637.321137635726,0.03500589259715266
3363,33.44627500698767,2930.541240883703,0.9185781067853359,5.9204487481265025,1338.640686463192,0.03635392499171236,49.07450377734669,6675.047293315394,0.8234745384421638,1.5329440330118065,1462.2071982897032,0.015928855469738025
