,t_Mean_MAE,t_Mean_MSE,t_Mean_R2,t_Std_MAE,t_Std_MSE,t_Std_R2,v_Mean_MAE,v_Mean_MSE,v_Mean_R2,v_Std_MAE,v_Std_MSE,v_Std_R2
81,0.04744463967778732,0.0040694003987366695,0.9145602414466213,0.01883998488645867,0.0030076584793284817,0.0736514286470431,0.23038796704063005,0.09233013319787783,-0.778385044967474,0.017209357845336143,0.01179513126253512,0.1944467089340375
243,0.04722822086275414,0.004322054416395849,0.9213940242415166,0.014060312420692554,0.0023869202663632664,0.04014519104928769,0.12545145858458867,0.028442715567693632,0.4618880675353891,0.0063324826476469104,0.0024062221301908338,0.05076675544287965
729,0.05806656165637676,0.0063671833161499216,0.8807554788869171,0.004926372415656381,0.0010256713066916978,0.025592848257940563,0.08982297860236754,0.014950462731079483,0.7194426995094872,0.003460753379784021,0.0012009223730284002,0.023271529704505033
2187,0.05676286762142614,0.0061956377784731925,0.8797869353151496,0.005282532352469204,0.0008903929750777602,0.023419655690284237,0.06891335643214896,0.009460048343533783,0.8084747505124463,0.0019801291853723166,0.0002716007198027596,0.014100387953206726
3355,0.055127757825985516,0.0057829529135347444,0.8863265886015423,0.007837817700238597,0.0013645864345526078,0.026897343444142997,0.061942863252907474,0.0074643776435481795,0.8581097495780299,0.005918479710930082,0.0012291425047882454,0.020161877599343018
